month,dimension,cluster,n,q1,median,q3,whisker_low,whisker_high,mean,mean_ci95_low,mean_ci95_high
Mar 2021 (one year into COVID),Neighbourhood income (£),0,17661,39175.0,45091.667,51700.0,22100.0,70300.0,45906.22,45767.194,46045.246
Mar 2021 (one year into COVID),Neighbourhood income (£),1,4056,38944.806,45726.389,53380.702,24400.0,74847.368,46562.721,46247.917,46877.526
Mar 2021 (one year into COVID),Neighbourhood income (£),2,12345,38270.0,44275.0,51705.263,21000.0,71800.0,45497.831,45324.412,45671.249
Mar 2021 (one year into COVID),Neighbourhood income (£),3,15773,38200.0,43988.889,50563.636,21300.0,69100.0,44787.172,44645.371,44928.973
Mar 2021 (one year into COVID),Neighbourhood income (£),4,813,40044.444,47053.333,53389.474,25000.0,72462.5,47185.688,46501.03,47870.346
Mar 2021 (one year into COVID),% managerial & professional,0,17228,27.754,35.166,42.278,7.436,63.914,35.049,34.897,35.2
Mar 2021 (one year into COVID),% managerial & professional,1,3997,25.836,33.243,41.804,8.428,65.66,34.085,33.745,34.424
Mar 2021 (one year into COVID),% managerial & professional,2,12143,26.623,34.134,41.891,5.81,64.621,34.34,34.155,34.524
Mar 2021 (one year into COVID),% managerial & professional,3,15468,27.018,34.225,41.212,8.08,61.626,34.102,33.949,34.254
Mar 2021 (one year into COVID),% managerial & professional,4,801,24.144,31.79,40.52,10.386,64.338,32.795,32.04,33.55
Mar 2021 (one year into COVID),Median age (years),0,17228,38.245,42.358,46.561,25.889,58.962,42.293,42.201,42.385
Mar 2021 (one year into COVID),Median age (years),1,3997,36.141,39.613,43.876,24.57,55.452,40.269,40.091,40.447
Mar 2021 (one year into COVID),Median age (years),2,12143,37.743,41.715,45.902,25.629,58.069,41.895,41.789,42.001
Mar 2021 (one year into COVID),Median age (years),3,15468,38.817,42.864,47.035,26.51,59.323,42.952,42.861,43.044
Mar 2021 (one year into COVID),Median age (years),4,801,35.167,37.684,41.373,26.222,50.66,38.482,38.145,38.819
Mar 2021 (one year into COVID),% ethnic minority,0,17228,3.871,8.073,18.929,0.793,41.471,14.64,14.399,14.88
Mar 2021 (one year into COVID),% ethnic minority,1,3997,6.526,17.958,38.389,0.793,86.126,24.67,24.016,25.324
Mar 2021 (one year into COVID),% ethnic minority,2,12143,4.337,9.992,23.887,0.806,53.185,17.225,16.908,17.541
Mar 2021 (one year into COVID),% ethnic minority,3,15468,3.532,6.61,16.124,0.793,35.007,12.864,12.627,13.101
Mar 2021 (one year into COVID),% ethnic minority,4,801,11.806,29.749,50.203,1.495,95.542,32.531,30.95,34.112
