cluster_202002,income_msoa,pct_manag_prof,median_age,pct_minority
2,36180.0,24.745,36.587,10.136
1,48492.308,28.221,43.348,21.133
0,48600.0,24.822,30.918,72.568
2,44609.091,30.259,47.148,2.499
2,49400.0,36.554,41.567,20.546
0,46011.765,36.309,47.381,12.307
3,47800.0,34.303,40.398,5.873
2,28718.182,21.495,36.773,15.064
3,48647.059,42.638,39.798,8.098
3,43786.667,41.468,43.919,25.005
2,42569.565,35.066,47.983,10.894
1,62576.923,50.849,47.144,9.19
3,43527.273,32.586,43.819,3.721
0,47300.0,19.914,23.371,15.938
2,43200.0,28.17,33.192,63.302
3,59800.0,49.316,45.801,9.778
0,27300.0,16.812,39.683,5.26
2,47241.176,31.091,39.772,26.697
0,44700.0,29.293,35.576,48.291
0,55800.0,36.402,39.723,16.344
3,63678.947,42.022,40.849,15.152
2,55800.0,36.402,39.723,16.344
0,39980.0,32.845,46.979,1.161
0,44700.0,,,
2,37100.0,27.461,37.885,23.687
0,47492.308,38.852,45.288,4.604
0,32154.545,15.938,35.374,15.951
2,55447.619,34.461,39.278,21.602
3,71400.0,64.338,43.423,17.989
2,42600.0,38.842,44.921,5.51
3,47850.0,39.578,45.224,10.289
1,55212.5,45.118,31.802,47.121
1,51141.176,41.302,45.521,17.343
1,38840.0,30.843,32.429,43.967
2,47800.0,36.606,45.755,7.146
1,62800.0,42.878,45.932,34.786
0,42064.706,37.928,54.369,2.607
3,54258.333,44.533,45.148,4.651
0,58809.091,42.092,44.259,11.652
2,56762.5,,,
2,42628.571,29.948,49.384,2.026
3,31561.538,17.074,38.827,3.699
3,33763.636,25.57,38.798,2.707
0,43900.0,37.494,37.505,6.603
2,45700.0,41.23,47.724,5.136
2,48700.0,41.287,51.512,4.135
0,44000.0,33.537,42.211,27.371
2,49957.143,50.842,47.036,8.058
0,39440.0,30.594,44.644,2.213
2,52900.0,29.228,34.236,60.615
3,50300.0,39.048,53.126,1.949
1,54130.0,50.091,42.563,19.105
2,41145.455,35.681,40.554,11.705
2,50094.118,24.802,37.81,51.472
2,62437.5,54.943,35.079,36.526
0,42968.421,35.682,49.821,4.373
3,53057.143,44.856,47.105,4.175
