income_msoa,pct_manag_prof,median_age,pct_minority,income_msoa_tercile,pct_manag_prof_tercile,median_age_tercile,pct_minority_tercile,stable_lockdown,stable_covid
36180.0,24.745,36.587,10.136,Low,Low,Low,Medium,0,1
48492.308,28.221,43.348,21.133,Medium,Low,Medium,High,0,0
48600.0,24.822,30.918,72.568,Medium,Low,Low,High,1,0
44609.091,30.259,47.148,2.499,Medium,Medium,High,Low,0,0
49400.0,36.554,41.567,20.546,High,Medium,Medium,High,1,1
46011.765,36.309,47.381,12.307,Medium,Medium,High,Medium,1,1
47800.0,34.303,40.398,5.873,Medium,Medium,Medium,Medium,1,0
28718.182,21.495,36.773,15.064,Low,Low,Low,Medium,0,0
48647.059,42.638,39.798,8.098,Medium,High,Medium,Medium,0,0
43786.667,41.468,43.919,25.005,Medium,High,Medium,High,0,0
42569.565,35.066,47.983,10.894,Medium,Medium,High,Medium,0,0
62576.923,50.849,47.144,9.19,High,High,High,Medium,0,0
43527.273,32.586,43.819,3.721,Medium,Medium,Medium,Low,1,1
47300.0,19.914,23.371,15.938,Medium,Low,Low,High,0,1
43200.0,28.17,33.192,63.302,Medium,Low,Low,High,0,1
59800.0,49.316,45.801,9.778,High,High,High,Medium,0,0
27300.0,16.812,39.683,5.26,Low,Low,Medium,Medium,1,0
47241.176,31.091,39.772,26.697,Medium,Medium,Medium,High,1,1
44700.0,29.293,35.576,48.291,Medium,Low,Low,High,0,1
55800.0,36.402,39.723,16.344,High,Medium,Medium,High,0,0
63678.947,42.022,40.849,15.152,High,High,Medium,Medium,1,0
55800.0,36.402,39.723,16.344,High,Medium,Medium,High,0,0
39980.0,32.845,46.979,1.161,Low,Medium,High,Low,0,0
44700.0,,,,Medium,,,,1,0
37100.0,27.461,37.885,23.687,Low,Low,Low,High,1,0
47492.308,38.852,45.288,4.604,Medium,Medium,High,Low,1,0
32154.545,15.938,35.374,15.951,Low,Low,Low,High,0,1
55447.619,34.461,39.278,21.602,High,Medium,Low,High,1,1
71400.0,64.338,43.423,17.989,High,High,Medium,High,0,0
42600.0,38.842,44.921,5.51,Medium,Medium,High,Medium,1,1
47850.0,39.578,45.224,10.289,Medium,High,High,Medium,1,0
55212.5,45.118,31.802,47.121,High,High,Low,High,1,0
51141.176,41.302,45.521,17.343,High,High,High,High,1,1
38840.0,30.843,32.429,43.967,Low,Medium,Low,High,0,0
47800.0,36.606,45.755,7.146,Medium,Medium,High,Medium,1,0
62800.0,42.878,45.932,34.786,High,High,High,High,0,0
42064.706,37.928,54.369,2.607,Medium,Medium,High,Low,1,1
54258.333,44.533,45.148,4.651,High,High,High,Low,1,1
58809.091,42.092,44.259,11.652,High,High,Medium,Medium,1,1
56762.5,,,,High,,,,0,0
42628.571,29.948,49.384,2.026,Medium,Medium,High,Low,0,0
31561.538,17.074,38.827,3.699,Low,Low,Low,Low,1,0
33763.636,25.57,38.798,2.707,Low,Low,Low,Low,1,0
43900.0,37.494,37.505,6.603,Medium,Medium,Low,Medium,1,1
45700.0,41.23,47.724,5.136,Medium,High,High,Medium,0,0
48700.0,41.287,51.512,4.135,Medium,High,High,Low,0,1
44000.0,33.537,42.211,27.371,Medium,Medium,Medium,High,1,1
49957.143,50.842,47.036,8.058,High,High,High,Medium,1,1
39440.0,30.594,44.644,2.213,Low,Medium,Medium,Low,1,1
52900.0,29.228,34.236,60.615,High,Low,Low,High,0,0
50300.0,39.048,53.126,1.949,High,Medium,High,Low,1,0
54130.0,50.091,42.563,19.105,High,High,Medium,High,1,0
41145.455,35.681,40.554,11.705,Medium,Medium,Medium,Medium,1,0
50094.118,24.802,37.81,51.472,High,Low,Low,High,1,0
62437.5,54.943,35.079,36.526,High,High,Low,High,1,1
42968.421,35.682,49.821,4.373,Medium,Medium,High,Low,1,0
53057.143,44.856,47.105,4.175,High,High,High,Low,1,1
67755.172,54.928,37.518,29.64,High,High,Low,High,1,1
72944.444,58.503,42.373,25.999,High,High,Medium,High,0,0
54538.095,42.616,46.678,2.974,High,High,High,Low,1,0
52044.444,38.697,47.42,8.191,High,Medium,High,Medium,0,1
62820.833,52.018,45.113,21.57,High,High,High,High,1,1
42946.154,39.175,43.222,11.859,Medium,Medium,Medium,Medium,0,1
37592.308,20.547,35.048,9.795,Low,Low,Low,Medium,1,0
41685.714,32.649,39.209,4.692,Medium,Medium,Low,Low,0,0
51833.333,37.11,42.149,10.209,High,Medium,Medium,Medium,0,0
54084.615,42.786,41.339,10.476,High,High,Medium,Medium,1,1
40940.0,24.752,41.16,3.386,Medium,Low,Medium,Low,0,0
35300.0,23.866,43.87,6.461,Low,Low,Medium,Medium,0,0
37900.0,34.521,46.639,2.054,Low,Medium,High,Low,1,1
41293.333,31.026,39.879,5.896,Medium,Medium,Medium,Medium,0,0
54141.176,38.903,40.52,39.97,High,Medium,Medium,High,1,0
48833.333,33.573,41.461,11.082,Medium,Medium,Medium,Medium,0,0
40900.0,33.194,51.909,1.424,Medium,Medium,High,Low,0,0
57295.0,42.278,42.516,8.918,High,High,Medium,Medium,1,0
63300.0,49.14,38.768,22.406,High,High,Low,High,1,1
35616.667,22.003,35.731,45.592,Low,Low,Low,High,1,0
34700.0,24.425,43.522,5.277,Low,Low,Medium,Medium,0,1
42562.5,29.46,34.387,18.224,Medium,Medium,Low,High,0,1
41178.947,32.79,37.216,9.146,Medium,Medium,Low,Medium,0,0
53396.552,39.314,37.342,11.917,High,High,Low,Medium,0,0
36755.556,15.982,32.751,34.916,Low,Low,Low,High,0,0
39000.0,38.546,44.309,5.765,Low,Medium,Medium,Medium,0,0
54100.0,49.302,51.313,2.834,High,High,High,Low,1,1
40552.941,31.895,44.675,7.213,Low,Medium,Medium,Medium,0,1
47750.0,43.32,53.29,3.4,Medium,High,High,Low,0,0
52000.0,33.464,44.368,6.821,High,Medium,Medium,Medium,1,0
52800.0,39.871,42.635,17.925,High,High,Medium,High,1,0
54166.667,35.125,35.338,23.247,High,Medium,Low,High,1,1
32900.0,25.188,44.41,8.276,Low,Low,Medium,Medium,0,0
43000.0,36.115,38.662,9.815,Medium,Medium,Low,Medium,1,1
52500.0,38.859,43.639,15.188,High,Medium,Medium,Medium,1,0
25300.0,10.143,32.718,3.178,Low,Low,Low,Low,0,0
60938.462,44.907,38.76,34.434,High,High,Low,High,1,1
63014.286,48.373,42.671,7.458,High,High,Medium,Medium,0,1
42400.0,28.68,47.977,3.61,Medium,Low,High,Low,0,1
48237.5,41.643,36.463,19.685,Medium,High,Low,High,1,0
52800.0,54.132,49.846,11.158,High,High,High,Medium,1,0
45523.077,31.091,44.529,33.381,Medium,Medium,Medium,High,0,0
63909.091,57.095,33.417,31.973,High,High,Low,High,0,0
34842.857,25.57,39.277,5.746,Low,Low,Low,Medium,1,0
49800.0,41.176,43.339,4.784,High,High,Medium,Low,0,1
53275.0,44.906,35.134,42.148,High,High,Low,High,1,1
34042.857,19.814,37.534,31.231,Low,Low,Low,High,1,1
54000.0,37.357,45.902,8.416,High,Medium,High,Medium,1,1
33973.333,23.676,39.924,2.113,Low,Low,Medium,Low,1,1
44807.143,42.905,53.41,1.956,Medium,High,High,Low,1,1
38322.222,30.775,41.819,18.527,Low,Medium,Medium,High,0,0
38650.0,19.935,26.161,36.714,Low,Low,Low,High,1,0
40470.0,28.457,44.943,9.902,Low,Low,High,Medium,0,0
52218.182,43.57,44.653,3.803,High,High,Medium,Low,1,1
48764.286,42.987,49.839,3.59,Medium,High,High,Low,1,1
37500.0,26.468,47.276,1.291,Low,Low,High,Low,0,1
49328.571,31.741,30.379,72.636,High,Medium,Low,High,1,1
44707.143,30.416,41.148,8.719,Medium,Medium,Medium,Medium,0,0
52453.333,,,,High,,,,1,1
44550.0,30.148,37.351,24.478,Medium,Medium,Low,High,0,0
36886.667,28.009,49.334,2.563,Low,Low,High,Low,1,0
56890.909,51.129,46.017,6.897,High,High,High,Medium,0,1
56890.909,51.129,46.017,6.897,High,High,High,Medium,0,0
51316.667,38.289,45.182,13.383,High,Medium,High,Medium,1,1
45300.0,26.273,36.338,18.178,Medium,Low,Low,High,1,1
29700.0,20.981,38.575,1.899,Low,Low,Low,Low,0,0
60381.818,56.405,53.164,7.153,High,High,High,Medium,1,1
39000.0,29.153,44.468,2.049,Low,Low,Medium,Low,0,0
43400.0,36.234,51.602,1.902,Medium,Medium,High,Low,1,1
38200.0,28.058,48.639,2.736,Low,Low,High,Low,1,0
45885.714,30.464,39.899,6.725,Medium,Medium,Medium,Medium,0,0
41500.0,31.099,40.225,18.96,Medium,Medium,Medium,High,1,0
43000.0,34.296,44.162,3.598,Medium,Medium,Medium,Low,0,0
47529.412,40.24,41.168,7.605,Medium,High,Medium,Medium,1,1
24900.0,16.049,44.668,8.337,Low,Low,Medium,Medium,1,0
34900.0,29.902,41.79,8.561,Low,Medium,Medium,Medium,0,0
63200.0,53.713,37.674,27.235,High,High,Low,High,1,1
75950.0,65.66,36.327,17.289,High,High,Low,High,1,0
55483.333,47.097,48.245,6.715,High,High,High,Medium,0,0
28400.0,18.907,39.731,4.581,Low,Low,Medium,Low,1,0
40900.0,33.861,39.015,10.278,Medium,Medium,Low,Medium,0,1
45994.444,36.565,42.812,10.332,Medium,Medium,Medium,Medium,1,1
33575.0,16.339,34.837,28.931,Low,Low,Low,High,0,1
34016.667,18.89,34.899,52.97,Low,Low,Low,High,1,0
40500.0,33.387,44.483,11.71,Low,Medium,Medium,Medium,0,0
32100.0,14.578,34.601,3.853,Low,Low,Low,Low,0,0
54213.043,45.718,45.174,10.739,High,High,High,Medium,0,0
46650.0,34.093,44.524,7.819,Medium,Medium,Medium,Medium,1,0
37700.0,28.443,45.197,6.238,Low,Low,High,Medium,1,1
40846.154,31.095,54.96,2.076,Medium,Medium,High,Low,1,0
55207.692,,,,High,,,,1,0
51000.0,41.198,49.551,3.513,High,High,High,Low,0,0
41200.0,,,,Medium,,,,0,0
54130.0,50.091,42.563,19.105,High,High,Medium,High,0,0
62011.111,43.266,45.711,12.827,High,High,High,Medium,0,0
37700.0,27.614,41.977,6.906,Low,Low,Medium,Medium,0,0
57763.636,46.373,45.809,7.599,High,High,High,Medium,1,1
45444.444,38.843,46.134,4.122,Medium,Medium,High,Low,1,1
35914.286,24.536,42.329,2.363,Low,Low,Medium,Low,0,0
44012.5,30.153,35.624,9.964,Medium,Medium,Low,Medium,1,0
36000.0,25.967,47.211,2.668,Low,Low,High,Low,1,1
54404.545,41.288,40.36,43.555,High,High,Medium,High,0,0
51800.0,42.799,45.681,5.908,High,High,High,Medium,1,0
60864.286,43.421,36.608,33.895,High,High,Low,High,0,0
48577.778,44.16,52.7,2.904,Medium,High,High,Low,1,1
47722.857,,,,Medium,,,,0,0
63382.353,49.574,43.654,13.554,High,High,Medium,Medium,1,0
37975.0,32.594,39.54,19.213,Low,Medium,Medium,High,1,1
37400.0,31.061,45.215,2.039,Low,Medium,High,Low,0,0
67277.273,51.603,44.296,36.098,High,High,Medium,High,0,0
51864.706,40.753,42.408,3.967,High,High,Medium,Low,1,0
58100.0,43.805,47.532,21.6,High,High,High,High,0,0
49807.692,31.166,36.691,57.44,High,Medium,Low,High,0,0
51026.316,,,,High,,,,0,0
48500.0,36.642,50.394,2.762,Medium,Medium,High,Low,1,1
54238.462,46.452,37.422,39.75,High,High,Low,High,0,1
44272.222,43.551,45.874,5.406,Medium,High,High,Medium,0,0
59900.0,52.609,49.702,20.977,High,High,High,High,1,1
45475.0,35.465,47.2,3.056,Medium,Medium,High,Low,0,0
44660.87,32.349,44.876,4.294,Medium,Medium,High,Low,1,0
47400.0,33.309,43.487,4.381,Medium,Medium,Medium,Low,1,0
44900.0,40.215,49.231,14.544,Medium,High,High,Medium,0,0
35600.0,30.976,44.575,3.128,Low,Medium,Medium,Low,0,0
38225.0,27.965,36.446,9.781,Low,Low,Low,Medium,1,1
51700.0,31.261,36.797,9.389,High,Medium,Low,Medium,1,0
49400.0,41.91,45.672,4.51,High,High,High,Low,1,0
29350.0,,,,Low,,,,1,1
39830.0,36.153,54.197,1.753,Low,Medium,High,Low,1,1
52453.846,45.882,44.78,6.711,High,High,High,Medium,1,0
38955.556,28.415,45.589,3.357,Low,Low,High,Low,1,0
53820.0,49.696,45.999,7.404,High,High,High,Medium,0,1
35685.714,19.485,34.102,24.386,Low,Low,Low,High,0,0
30900.0,21.533,55.243,1.831,Low,Low,High,Low,1,1
36200.0,26.927,44.88,15.098,Low,Low,High,Medium,1,1
50193.75,42.044,39.314,15.232,High,High,Low,Medium,1,1
60653.846,48.762,39.317,11.101,High,High,Low,Medium,0,1
43200.0,36.63,53.086,2.099,Medium,Medium,High,Low,1,0
42393.939,28.306,35.611,24.522,Medium,Low,Low,High,0,1
38100.0,18.627,34.078,65.049,Low,Low,Low,High,1,0
42400.0,34.553,46.412,2.936,Medium,Medium,High,Low,1,0
37000.0,26.93,50.507,2.589,Low,Low,High,Low,1,0
65909.524,44.903,39.588,35.667,High,High,Medium,High,0,1
44269.231,29.472,38.201,29.987,Medium,Medium,Low,High,1,0
42500.0,31.725,49.769,1.54,Medium,Medium,High,Low,0,0
61000.0,45.571,45.844,6.72,High,High,High,Medium,0,0
43000.0,,,,Medium,,,,1,1
44200.0,29.14,40.059,9.836,Medium,Low,Medium,Medium,0,0
65475.0,46.775,42.085,16.233,High,High,Medium,High,0,0
49000.0,37.943,38.63,12.53,Medium,Medium,Low,Medium,1,1
60300.0,47.956,40.862,4.924,High,High,Medium,Low,1,0
39571.429,35.704,47.871,3.866,Low,Medium,High,Low,1,1
58900.0,40.894,40.758,7.704,High,High,Medium,Medium,0,1
45650.0,36.81,45.049,24.959,Medium,Medium,High,High,1,0
55668.0,42.949,37.401,44.311,High,High,Low,High,1,1
41300.0,44.316,43.559,7.759,Medium,High,Medium,Medium,1,1
28700.0,16.964,39.186,4.939,Low,Low,Low,Low,0,0
32566.667,25.022,39.554,17.243,Low,Low,Medium,High,0,0
46900.0,45.297,43.278,10.382,Medium,High,Medium,Medium,1,1
38357.143,27.882,39.074,12.653,Low,Low,Low,Medium,0,0
35800.0,21.368,39.425,3.543,Low,Low,Medium,Low,0,1
56095.238,43.68,40.737,7.488,High,High,Medium,Medium,0,0
38060.0,26.759,42.978,3.044,Low,Low,Medium,Low,1,0
69100.0,48.512,43.467,29.749,High,High,Medium,High,0,0
53565.517,44.008,40.46,9.855,High,High,Medium,Medium,0,0
39672.727,20.766,34.257,42.737,Low,Low,Low,High,1,0
52142.857,43.25,44.818,3.839,High,High,High,Low,1,0
34800.0,28.71,52.967,1.705,Low,Low,High,Low,1,0
41140.0,28.837,45.757,3.402,Medium,Low,High,Low,0,1
46134.783,36.254,37.701,14.986,Medium,Medium,Low,Medium,1,1
37509.091,26.459,44.107,2.725,Low,Low,Medium,Low,1,0
27300.0,19.43,32.656,22.937,Low,Low,Low,High,1,0
66823.529,51.946,43.499,26.652,High,High,Medium,High,0,0
56104.0,45.29,39.249,7.633,High,High,Low,Medium,0,0
40480.0,37.234,46.119,2.272,Low,Medium,High,Low,1,1
55577.778,33.182,40.75,57.18,High,Medium,Medium,High,0,0
48328.571,35.614,41.017,15.86,Medium,Medium,Medium,High,1,1
52500.0,38.859,43.639,15.188,High,Medium,Medium,Medium,0,1
39560.0,29.068,45.018,3.552,Low,Low,High,Low,1,0
49700.0,37.003,42.818,4.316,High,Medium,Medium,Low,0,0
31500.0,15.324,33.818,66.594,Low,Low,Low,High,0,0
55782.353,49.339,46.154,9.181,High,High,High,Medium,1,1
52300.0,34.436,42.533,4.262,High,Medium,Medium,Low,1,0
39972.727,39.803,61.217,2.74,Low,High,High,Low,0,1
36700.0,26.564,42.844,7.244,Low,Low,Medium,Medium,0,0
39493.333,28.898,38.546,11.813,Low,Low,Low,Medium,0,0
42400.0,33.219,35.379,9.57,Medium,Medium,Low,Medium,1,1
